,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,ratings
0,Steven Adams,OKC,0.0,0.0,5.0,0.627,1.4,0.486,9.9,2.8,0.5,1.2,11.5,83.0
1,Bam Adebayo,MIA,0.0,0.111,5.7,0.579,4.1,0.685,10.6,4.6,1.5,1.3,15.7,86.0
2,LaMarcus Aldridge,SAS,0.6,0.347,7.3,0.536,3.0,0.825,7.4,2.5,0.6,1.9,19.4,86.0
3,Nickeil Alexander-Walker,NOP,1.1,0.333,1.0,0.329,0.4,0.688,2.1,1.8,0.3,0.2,5.6,72.0
4,Grayson Allen,MEM,1.4,0.393,1.7,0.491,1.0,0.842,2.6,1.5,0.3,0.1,8.5,72.0
5,Jarrett Allen,BRK,0.0,0.0,4.9,0.668,2.6,0.615,10.6,1.3,0.7,1.4,12.3,82.0
6,Kadeem Allen,NYK,3.0,0.75,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,72.0
7,Al-Farouq Aminu,ORL,0.5,0.25,0.9,0.32,1.1,0.655,4.8,1.2,1.0,0.4,4.3,75.0
8,Kyle Anderson,MEM,0.2,0.238,2.1,0.531,0.9,0.629,4.1,2.2,0.7,0.5,5.6,74.0
9,Ryan Anderson,HOU,0.5,0.2,0.5,0.5,0.0,0.0,3.5,1.0,0.5,0.0,2.5,70.0
10,Giannis Antetokounmpo,MIL,1.7,0.342,9.7,0.64,6.3,0.598,12.9,5.6,1.3,1.2,31.0,97.0
11,Kostas Antetokounmpo,LAL,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,69.0
12,Thanasis Antetokounmpo,MIL,0.0,0.0,1.2,0.583,0.7,0.5,0.8,0.7,0.0,0.2,3.0,70.0
13,Carmelo Anthony,POR,1.6,0.406,4.5,0.429,2.6,0.837,6.4,1.2,1.3,0.8,16.4,79.0
14,OG Anunoby,TOR,1.4,0.369,3.1,0.603,1.0,0.63,6.0,1.7,1.2,0.8,11.5,80.0
15,Ryan Arcidiacono,CHI,0.9,0.418,0.5,0.356,0.6,0.75,1.7,1.6,0.4,0.1,4.2,71.0
16,Trevor Ariza,SAC,1.3,0.354,0.6,0.467,0.5,0.8,4.2,1.3,1.0,0.3,5.8,76.0
17,D.J. Augustin,ORL,1.1,0.327,2.2,0.448,2.4,0.901,2.4,4.7,0.7,0.0,10.2,76.0
18,Deandre Ayton,PHO,0.0,0.0,9.0,0.545,0.0,0.0,11.5,1.5,0.5,2.5,18.0,83.0
19,Dwayne Bacon,CHO,0.4,0.227,1.7,0.348,1.0,0.686,2.3,1.2,0.7,0.1,5.8,70.0
20,Marvin Bagley,SAC,0.4,0.273,5.1,0.466,1.8,0.778,7.3,0.8,0.4,1.0,13.1,83.0
21,Lonzo Ball,NOP,1.9,0.338,1.9,0.43,0.6,0.5,4.8,5.3,1.3,0.3,10.1,77.0
