,Player,Tm,3P,3PA,3P%,2P,2PA,2P%,FT,FT%,TRB,AST,STL,BLK,PTS
0,Steven Adams,OKC,0.0,0.0,.000,5.0,8.0,.627,1.4,.486,9.9,2.8,0.5,1.2,11.5
1,Bam Adebayo,MIA,0.0,0.3,.111,5.7,9.9,.579,4.1,.685,10.6,4.6,1.5,1.3,15.7
2,LaMarcus Aldridge,SAS,0.6,1.8,.347,7.3,13.6,.536,3.0,.825,7.4,2.5,0.6,1.9,19.4
3,Nickeil Alexander-Walker,NOP,1.1,3.2,.333,1.0,2.9,.329,0.4,.688,2.1,1.8,0.3,0.2,5.6
4,Grayson Allen,MEM,1.4,3.5,.393,1.7,3.4,.491,1.0,.842,2.6,1.5,0.3,0.1,8.5
5,Jarrett Allen,BRK,0.0,0.1,.000,4.9,7.3,.668,2.6,.615,10.6,1.3,0.7,1.4,12.3
6,Kadeem Allen,NYK,3.0,4.0,.750,0.0,2.0,.000,0.0,0,0.0,2.0,1.0,0.0,9.0
7,Al-Farouq Aminu,ORL,0.5,2.0,.250,0.9,2.8,.320,1.1,.655,4.8,1.2,1.0,0.4,4.3
8,Kyle Anderson,MEM,0.2,0.8,.238,2.1,3.9,.531,0.9,.629,4.1,2.2,0.7,0.5,5.6
9,Ryan Anderson,HOU,0.5,2.5,.200,0.5,1.0,.500,0.0,0,3.5,1.0,0.5,0.0,2.5
10,Giannis Antetokounmpo,MIL,1.7,5.1,.327,9.7,15.4,.630,6.2,.597,12.9,5.7,1.3,1.2,30.5
11,Kostas Antetokounmpo,LAL,0.0,0.0,0,0.0,0.0,0,0.0,0,0.5,0.0,0.0,0.0,0.0
12,Thanasis Antetokounmpo,MIL,0.0,0.0,0,1.2,2.0,.583,0.7,.500,0.8,0.7,0.0,0.2,3.0
13,Carmelo Anthony,POR,1.6,4.0,.406,4.5,10.5,.429,2.6,.837,6.4,1.2,1.3,0.8,16.4
14,OG Anunoby,TOR,1.4,3.8,.363,3.1,5.2,.600,1.0,.625,5.8,1.6,1.1,0.9,11.3
15,Ryan Arcidiacono,CHI,0.9,2.1,.418,0.5,1.4,.356,0.6,.750,1.7,1.6,0.4,0.1,4.2
16,Trevor Ariza,SAC,1.3,3.7,.354,0.6,1.4,.467,0.5,.800,4.2,1.3,1.0,0.3,5.8
17,D.J. Augustin,ORL,1.1,3.5,.327,2.2,4.8,.448,2.4,.901,2.4,4.7,0.7,0.0,10.2
18,Deandre Ayton,PHO,0.0,0.0,0,9.0,16.5,.545,0.0,.000,11.5,1.5,0.5,2.5,18.0
19,Dwayne Bacon,CHO,0.4,1.9,.227,1.7,5.0,.348,1.0,.686,2.3,1.2,0.7,0.1,5.8
21,Marvin Bagley,SAC,0.4,1.4,.273,5.1,11.0,.466,1.8,.778,7.3,0.8,0.4,1.0,13.1
22,Lonzo Ball,NOP,1.9,5.8,.333,1.9,4.4,.429,0.6,.500,5.0,5.2,1.3,0.3,10.1
23,Mo Bamba,ORL,0.7,2.0,.364,1.7,3.4,.500,0.4,.667,5.1,0.6,0.3,1.3,5.9
24,J.J. Barea,DAL,1.7,3.1,.545,1.9,4.9,.382,0.3,1.000,1.7,3.1,0.3,0.1,9.1
25,Harrison Barnes,SAC,1.4,4.0,.342,4.0,8.0,.500,3.5,.815,5.0,2.3,0.7,0.2,15.6
26,RJ Barrett,NYK,1.1,3.4,.311,4.2,9.9,.423,2.4,.549,5.2,2.9,1.1,0.4,14.0
27,Will Barton,DEN,1.6,4.2,.393,3.9,8.0,.489,1.7,.734,7.0,3.4,1.1,0.4,14.4
28,Keita Bates-Diop,MIN,1.2,2.7,.435,1.4,2.6,.545,0.7,.632,2.5,0.5,0.4,0.4,7.1
29,Nicolas Batum,CHO,0.7,2.3,.306,0.6,1.1,.500,0.4,1.000,4.1,3.0,0.8,0.5,3.6
30,Aron Baynes,PHO,1.5,4.0,.376,3.5,5.6,.619,1.5,.727,5.3,2.3,0.2,0.7,13.0
31,Kent Bazemore,POR,1.3,3.7,.353,1.4,3.7,.374,1.4,.824,3.9,1.5,1.0,0.7,8.1
32,Darius Bazley,OKC,0.6,1.9,.315,0.8,1.9,.429,0.4,.650,3.6,0.6,0.4,0.6,3.9
33,Bradley Beal,WAS,2.7,8.2,.324,7.0,13.8,.506,6.3,.832,4.9,6.8,1.1,0.3,28.3
34,Malik Beasley,DEN,1.4,3.4,.405,1.2,3.2,.384,0.3,.778,1.6,1.0,0.4,0.2,6.9
35,Marco Belinelli,SAS,1.1,3.0,.363,1.0,2.9,.359,0.8,.733,1.7,1.3,0.3,0.0,6.1
36,Jordan Bell,MIN,0.0,0.3,.000,1.3,2.2,.600,0.9,.640,3.4,0.7,0.1,0.5,3.6
37,DeAndre' Bembry,ATL,0.3,1.4,.233,2.3,4.1,.548,0.7,.513,4.1,2.3,1.2,0.5,6.2
38,Dragan Bender,MIL,0.7,1.3,.500,1.3,1.3,1.000,0.3,1.000,0.7,1.0,0.0,0.7,5.0
39,Dāvis Bertāns,WAS,3.8,8.6,.434,1.3,2.6,.500,1.5,.894,4.9,1.7,0.6,0.6,15.4
40,Patrick Beverley,LAC,1.4,4.4,.325,1.5,2.9,.531,0.5,.577,6.1,3.4,1.4,0.6,7.9
